,AdapterTime,BidPx,AskPx
0,2019-03-15 13:30:00.110074,1.13138,1.13141
1,2019-03-15 13:30:00.989444,1.1314,1.13143
2,2019-03-15 13:30:01.166787,1.13139,1.13142
3,2019-03-15 13:30:01.299475,1.1314,1.13144
4,2019-03-15 13:30:02.475137,1.13142,1.13145
5,2019-03-15 13:30:07.206197,1.1314,1.13143
6,2019-03-15 13:30:07.216629,1.13139,1.13142
7,2019-03-15 13:30:07.512917,1.13138,1.13141
8,2019-03-15 13:30:07.636624,1.13137,1.1314
9,2019-03-15 13:30:09.391763,1.13138,1.13141
10,2019-03-15 13:30:09.522262,1.13139,1.13143
11,2019-03-15 13:30:09.794138,1.13141,1.13144
12,2019-03-15 13:30:10.700278,1.13142,1.13146
13,2019-03-15 13:30:10.784855,1.13143,1.13147
14,2019-03-15 13:30:10.964334,1.13145,1.13148
15,2019-03-15 13:30:11.062882,1.13145,1.13149
16,2019-03-15 13:30:11.694307,1.13146,1.1315
17,2019-03-15 13:30:12.016788,1.13148,1.13152
18,2019-03-15 13:30:12.020016,1.1315,1.13154
19,2019-03-15 13:30:12.141072,1.13148,1.13152
20,2019-03-15 13:30:12.191115,1.13147,1.13151
21,2019-03-15 13:30:12.327668,1.13146,1.13149
22,2019-03-15 13:30:13.487437,1.13147,1.13151
23,2019-03-15 13:30:13.707309,1.13148,1.13152
24,2019-03-15 13:30:14.508709,1.13147,1.13151
25,2019-03-15 13:30:15.076964,1.13148,1.1315
26,2019-03-15 13:30:17.633379,1.13146,1.13149
27,2019-03-15 13:30:17.635342,1.13148,1.1315
28,2019-03-15 13:30:17.802586,1.13146,1.13149
29,2019-03-15 13:30:17.803880,1.13147,1.1315
30,2019-03-15 13:30:17.808565,1.13146,1.13148
31,2019-03-15 13:30:17.887507,1.13147,1.1315
32,2019-03-15 13:30:18.971203,1.13148,1.13151
33,2019-03-15 13:30:20.273712,1.13147,1.1315
34,2019-03-15 13:30:20.279496,1.13146,1.13148
35,2019-03-15 13:30:20.323150,1.13147,1.1315
36,2019-03-15 13:30:22.990061,1.13148,1.13151
37,2019-03-15 13:30:25.176894,1.13149,1.13152
38,2019-03-15 13:30:25.608336,1.13151,1.13153
39,2019-03-15 13:30:25.702280,1.13153,1.13155
40,2019-03-15 13:30:25.849590,1.13154,1.13156
41,2019-03-15 13:30:26.263553,1.13155,1.13158
42,2019-03-15 13:30:27.016507,1.13157,1.13159
43,2019-03-15 13:30:27.506973,1.13158,1.1316
44,2019-03-15 13:30:27.508896,1.13159,1.13161
45,2019-03-15 13:30:27.524943,1.1316,1.13163
46,2019-03-15 13:30:27.526934,1.13161,1.13164
47,2019-03-15 13:30:27.596187,1.13163,1.13165
48,2019-03-15 13:30:30.683684,1.13164,1.13166
49,2019-03-15 13:30:30.690859,1.13165,1.13167
50,2019-03-15 13:30:30.951598,1.13164,1.13166
51,2019-03-15 13:30:31.031644,1.13165,1.13167
52,2019-03-15 13:30:31.047714,1.13164,1.13166
53,2019-03-15 13:30:34.120734,1.13165,1.13167
54,2019-03-15 13:30:35.042625,1.13166,1.13169
55,2019-03-15 13:30:39.113090,1.13167,1.1317
56,2019-03-15 13:30:42.712678,1.13166,1.13169
57,2019-03-15 13:30:42.715275,1.13165,1.13167
58,2019-03-15 13:30:42.739119,1.13164,1.13166
59,2019-03-15 13:30:43.358684,1.13163,1.13165
60,2019-03-15 13:30:44.138728,1.13164,1.13166
61,2019-03-15 13:30:45.715366,1.13166,1.13169
62,2019-03-15 13:30:45.723029,1.13165,1.13168
63,2019-03-15 13:30:45.732309,1.13166,1.13169
64,2019-03-15 13:30:45.760790,1.13165,1.13168
65,2019-03-15 13:30:45.764213,1.13166,1.13169
66,2019-03-15 13:30:45.764475,1.13165,1.13168
67,2019-03-15 13:30:46.837859,1.13166,1.13169
68,2019-03-15 13:30:47.384641,1.13165,1.13168
69,2019-03-15 13:30:49.652518,1.13164,1.13166
70,2019-03-15 13:30:53.863063,1.13162,1.13165
71,2019-03-15 13:30:53.866610,1.13161,1.13164
72,2019-03-15 13:30:53.869786,1.1316,1.13162
73,2019-03-15 13:30:53.878881,1.13159,1.13161
74,2019-03-15 13:30:53.981091,1.1316,1.13163
75,2019-03-15 13:30:54.013891,1.13161,1.13164
76,2019-03-15 13:30:54.069781,1.13163,1.13165
77,2019-03-15 13:31:04.938232,1.13165,1.13167
78,2019-03-15 13:31:05.020587,1.13166,1.13169
79,2019-03-15 13:31:05.784660,1.13165,1.13168
80,2019-03-15 13:31:06.182298,1.13164,1.13167
81,2019-03-15 13:31:06.555309,1.13163,1.13165
82,2019-03-15 13:31:06.803278,1.13162,1.13164
83,2019-03-15 13:31:07.504976,1.1316,1.13163
84,2019-03-15 13:31:07.542443,1.13163,1.13165
85,2019-03-15 13:31:07.546112,1.13161,1.13164
86,2019-03-15 13:31:07.551251,1.13162,1.13165
87,2019-03-15 13:31:07.565169,1.13161,1.13164
88,2019-03-15 13:31:07.569980,1.13162,1.13165
89,2019-03-15 13:31:07.585146,1.13161,1.13164
90,2019-03-15 13:31:07.591968,1.13163,1.13165
91,2019-03-15 13:31:07.624030,1.13162,1.13164
92,2019-03-15 13:31:29.017275,1.13163,1.13165
93,2019-03-15 13:31:33.387390,1.13164,1.13167
94,2019-03-15 13:31:33.395022,1.13165,1.13168
95,2019-03-15 13:31:33.458400,1.13166,1.13169
96,2019-03-15 13:31:33.486490,1.13168,1.13171
97,2019-03-15 13:31:33.690204,1.1317,1.13172
98,2019-03-15 13:31:34.121157,1.13169,1.13171
99,2019-03-15 13:31:37.272517,1.1317,1.13172
100,2019-03-15 13:31:37.348610,1.13171,1.13174
101,2019-03-15 13:31:38.747680,1.13173,1.13175
102,2019-03-15 13:31:39.031764,1.13172,1.13174
103,2019-03-15 13:31:39.249719,1.1317,1.13173
104,2019-03-15 13:31:39.345394,1.13169,1.13172
105,2019-03-15 13:31:39.359896,1.13168,1.13171
106,2019-03-15 13:31:40.060080,1.13167,1.1317
107,2019-03-15 13:31:43.256657,1.13168,1.13171
108,2019-03-15 13:31:43.277714,1.13169,1.13172
109,2019-03-15 13:31:43.338051,1.13168,1.13171
110,2019-03-15 13:31:43.485081,1.13169,1.13172
111,2019-03-15 13:31:43.545443,1.13171,1.13173
112,2019-03-15 13:31:43.552022,1.13169,1.13172
113,2019-03-15 13:31:43.875794,1.13171,1.13173
114,2019-03-15 13:31:45.714506,1.13172,1.13174
115,2019-03-15 13:31:45.738261,1.13173,1.13176
116,2019-03-15 13:31:45.742378,1.13174,1.13177
117,2019-03-15 13:31:45.798986,1.13173,1.13176
118,2019-03-15 13:31:45.832276,1.13174,1.13177
119,2019-03-15 13:31:48.819618,1.13173,1.13176
120,2019-03-15 13:31:50.359134,1.13172,1.13174
121,2019-03-15 13:31:50.362132,1.13173,1.13175
122,2019-03-15 13:31:51.912407,1.13172,1.13174
123,2019-03-15 13:31:54.076173,1.13171,1.13173
124,2019-03-15 13:31:54.077779,1.1317,1.13172
125,2019-03-15 13:31:54.080630,1.13168,1.13171
126,2019-03-15 13:31:54.102068,1.13167,1.13169
127,2019-03-15 13:31:54.483289,1.13168,1.1317
128,2019-03-15 13:31:57.857853,1.13169,1.13172
129,2019-03-15 13:31:57.865896,1.1317,1.13173
130,2019-03-15 13:31:57.938248,1.13171,1.13174
131,2019-03-15 13:31:58.295978,1.1317,1.13173
132,2019-03-15 13:31:58.382816,1.13169,1.13171
133,2019-03-15 13:32:01.388907,1.1317,1.13173
134,2019-03-15 13:32:02.350223,1.13171,1.13174
135,2019-03-15 13:32:02.703080,1.13172,1.13175
136,2019-03-15 13:32:03.894058,1.13174,1.13176
137,2019-03-15 13:32:07.232936,1.13175,1.13178
138,2019-03-15 13:32:08.182547,1.13176,1.13179
139,2019-03-15 13:32:09.080787,1.13175,1.13178
140,2019-03-15 13:32:10.060154,1.13176,1.13179
141,2019-03-15 13:32:29.396574,1.13175,1.13177
142,2019-03-15 13:32:29.406739,1.13172,1.13175
143,2019-03-15 13:32:30.951543,1.13174,1.13176
144,2019-03-15 13:32:32.575871,1.13172,1.13175
145,2019-03-15 13:32:32.797273,1.13174,1.13176
146,2019-03-15 13:32:33.810847,1.13173,1.13175
147,2019-03-15 13:32:35.496977,1.13171,1.13174
148,2019-03-15 13:32:35.501683,1.1317,1.13172
149,2019-03-15 13:32:35.680589,1.13169,1.13171
150,2019-03-15 13:32:35.867777,1.1317,1.13172
151,2019-03-15 13:32:37.898421,1.13171,1.13173
152,2019-03-15 13:32:42.627895,1.13173,1.13175
153,2019-03-15 13:32:42.637934,1.13175,1.13177
154,2019-03-15 13:32:42.638402,1.13174,1.13176
155,2019-03-15 13:32:42.643849,1.13175,1.13177
156,2019-03-15 13:32:42.658998,1.13176,1.13179
157,2019-03-15 13:32:42.728938,1.13177,1.1318
158,2019-03-15 13:32:42.735312,1.13179,1.13182
159,2019-03-15 13:32:42.756900,1.1318,1.13183
160,2019-03-15 13:32:42.912853,1.13179,1.13182
161,2019-03-15 13:32:43.039999,1.13178,1.1318
162,2019-03-15 13:32:44.975130,1.13177,1.13179
163,2019-03-15 13:32:46.845903,1.13176,1.13178
164,2019-03-15 13:32:46.860144,1.13174,1.13177
165,2019-03-15 13:32:46.866808,1.13173,1.13175
166,2019-03-15 13:32:50.173727,1.13174,1.13177
167,2019-03-15 13:32:50.175071,1.13173,1.13176
168,2019-03-15 13:32:50.175344,1.13174,1.13177
169,2019-03-15 13:32:50.177317,1.13173,1.13176
170,2019-03-15 13:32:51.008609,1.13172,1.13175
171,2019-03-15 13:33:00.990388,1.1317,1.13172
172,2019-03-15 13:33:01.086481,1.13171,1.13173
173,2019-03-15 13:33:02.088521,1.13168,1.13171
174,2019-03-15 13:33:02.326585,1.1317,1.13172
175,2019-03-15 13:33:02.336632,1.13171,1.13174
176,2019-03-15 13:33:02.803686,1.13172,1.13175
177,2019-03-15 13:33:04.893733,1.13173,1.13176
178,2019-03-15 13:33:04.909395,1.13175,1.13177
179,2019-03-15 13:33:10.644303,1.13176,1.13178
180,2019-03-15 13:33:12.206795,1.13175,1.13177
181,2019-03-15 13:33:21.833030,1.13176,1.13178
182,2019-03-15 13:33:22.074190,1.13177,1.1318
183,2019-03-15 13:33:22.083867,1.13179,1.13182
184,2019-03-15 13:33:22.093197,1.13178,1.13181
185,2019-03-15 13:33:22.093462,1.13179,1.13182
186,2019-03-15 13:33:22.109203,1.13177,1.1318
187,2019-03-15 13:33:22.115425,1.13178,1.13181
188,2019-03-15 13:33:22.131719,1.13177,1.13179
189,2019-03-15 13:33:24.697166,1.13179,1.13181
190,2019-03-15 13:33:24.764296,1.13177,1.1318
191,2019-03-15 13:33:24.765064,1.13179,1.13181
192,2019-03-15 13:33:24.770093,1.13177,1.1318
193,2019-03-15 13:33:27.196671,1.13176,1.13179
194,2019-03-15 13:33:30.307116,1.13175,1.13178
195,2019-03-15 13:33:30.314328,1.13174,1.13176
196,2019-03-15 13:33:30.324320,1.13173,1.13175
197,2019-03-15 13:33:32.041401,1.13174,1.13176
198,2019-03-15 13:33:40.390283,1.13172,1.13175
199,2019-03-15 13:33:43.248046,1.13173,1.13176
200,2019-03-15 13:33:43.338691,1.13174,1.13177
201,2019-03-15 13:33:45.248691,1.13173,1.13176
202,2019-03-15 13:33:47.377122,1.13172,1.13175
203,2019-03-15 13:33:55.883827,1.13171,1.13173
204,2019-03-15 13:33:55.893046,1.13168,1.13171
205,2019-03-15 13:33:55.968260,1.13167,1.1317
206,2019-03-15 13:34:00.311224,1.13168,1.13171
207,2019-03-15 13:34:00.790982,1.13167,1.13169
208,2019-03-15 13:34:02.425886,1.13168,1.13171
209,2019-03-15 13:34:03.231484,1.1317,1.13172
210,2019-03-15 13:34:08.111629,1.13168,1.13171
211,2019-03-15 13:34:10.149643,1.1317,1.13172
212,2019-03-15 13:34:10.691976,1.13171,1.13173
213,2019-03-15 13:34:12.023415,1.13172,1.13175
214,2019-03-15 13:34:12.105419,1.13174,1.13176
215,2019-03-15 13:34:12.115488,1.13171,1.13173
216,2019-03-15 13:34:12.215862,1.13172,1.13174
217,2019-03-15 13:34:15.100944,1.13173,1.13176
218,2019-03-15 13:34:15.650280,1.13174,1.13177
219,2019-03-15 13:34:16.143478,1.13176,1.13178
220,2019-03-15 13:34:20.251586,1.13174,1.13177
221,2019-03-15 13:34:20.260521,1.13173,1.13176
222,2019-03-15 13:34:20.270542,1.13172,1.13175
223,2019-03-15 13:34:20.616362,1.13173,1.13176
224,2019-03-15 13:34:21.245301,1.13172,1.13175
225,2019-03-15 13:34:22.266127,1.13171,1.13173
226,2019-03-15 13:34:26.889573,1.1317,1.13172
227,2019-03-15 13:34:26.990306,1.13171,1.13173
228,2019-03-15 13:34:27.147673,1.13172,1.13175
229,2019-03-15 13:34:27.797596,1.13173,1.13176
230,2019-03-15 13:34:27.892397,1.13174,1.13177
231,2019-03-15 13:34:31.811604,1.13176,1.13178
232,2019-03-15 13:34:32.263897,1.13174,1.13177
233,2019-03-15 13:34:34.681962,1.13176,1.13178
234,2019-03-15 13:34:38.681007,1.13177,1.1318
235,2019-03-15 13:34:38.683831,1.13179,1.13182
236,2019-03-15 13:34:38.691268,1.13178,1.1318
237,2019-03-15 13:34:38.697078,1.13179,1.13182
238,2019-03-15 13:34:38.698825,1.13178,1.1318
239,2019-03-15 13:34:38.775980,1.13179,1.13182
240,2019-03-15 13:34:38.788913,1.13178,1.1318
241,2019-03-15 13:34:39.931592,1.13179,1.13181
242,2019-03-15 13:34:40.596803,1.13177,1.1318
243,2019-03-15 13:34:45.166072,1.13176,1.13179
244,2019-03-15 13:34:48.725561,1.13175,1.13178
245,2019-03-15 13:34:48.742373,1.13174,1.13176
246,2019-03-15 13:34:48.827887,1.13173,1.13175
247,2019-03-15 13:34:54.210667,1.13174,1.13177
248,2019-03-15 13:34:54.235589,1.13175,1.13178
249,2019-03-15 13:35:00.842754,1.13177,1.13179
250,2019-03-15 13:35:05.115053,1.13178,1.1318
251,2019-03-15 13:35:05.490141,1.13179,1.13182
252,2019-03-15 13:35:05.515168,1.13178,1.1318
253,2019-03-15 13:35:12.124828,1.13176,1.13179
254,2019-03-15 13:35:33.294939,1.13178,1.1318
255,2019-03-15 13:35:33.298583,1.13179,1.13182
256,2019-03-15 13:35:33.300240,1.13178,1.13181
257,2019-03-15 13:35:33.301121,1.1318,1.13182
258,2019-03-15 13:35:33.326310,1.1318,1.13183
259,2019-03-15 13:35:33.419579,1.13179,1.13182
260,2019-03-15 13:35:33.491662,1.1318,1.13183
261,2019-03-15 13:35:33.499931,1.13181,1.13184
262,2019-03-15 13:35:33.576654,1.13183,1.13185
263,2019-03-15 13:35:33.874010,1.13184,1.13187
264,2019-03-15 13:35:33.965069,1.13186,1.13188
265,2019-03-15 13:35:34.992363,1.13187,1.13189
266,2019-03-15 13:35:39.888626,1.13188,1.1319
267,2019-03-15 13:35:39.895886,1.13189,1.13192
268,2019-03-15 13:35:39.902093,1.13191,1.13193
269,2019-03-15 13:35:42.003440,1.13192,1.13194
270,2019-03-15 13:35:42.261547,1.13193,1.13196
271,2019-03-15 13:35:42.267424,1.13194,1.13197
272,2019-03-15 13:35:42.268864,1.13193,1.13196
273,2019-03-15 13:35:42.274988,1.13195,1.13197
274,2019-03-15 13:35:42.287642,1.13196,1.13198
275,2019-03-15 13:35:42.417731,1.13198,1.132
276,2019-03-15 13:35:42.418461,1.13196,1.13199
277,2019-03-15 13:35:42.436292,1.13197,1.132
278,2019-03-15 13:35:42.437981,1.13196,1.13199
279,2019-03-15 13:35:42.456247,1.13197,1.132
280,2019-03-15 13:35:42.458394,1.13196,1.13199
281,2019-03-15 13:35:42.554154,1.13197,1.132
282,2019-03-15 13:35:42.558683,1.13198,1.13201
283,2019-03-15 13:35:42.628849,1.13197,1.132
284,2019-03-15 13:35:42.631244,1.13198,1.13201
285,2019-03-15 13:35:42.637973,1.13199,1.13202
286,2019-03-15 13:35:42.638269,1.13198,1.13201
287,2019-03-15 13:35:42.640706,1.13199,1.13202
288,2019-03-15 13:35:42.642406,1.13198,1.132
289,2019-03-15 13:35:42.679302,1.13197,1.13199
290,2019-03-15 13:35:42.681958,1.13199,1.13202
291,2019-03-15 13:35:42.689160,1.13197,1.13199
292,2019-03-15 13:35:42.710308,1.13198,1.13201
293,2019-03-15 13:35:42.710719,1.13196,1.13199
294,2019-03-15 13:35:42.723643,1.13198,1.13201
295,2019-03-15 13:35:42.735141,1.13197,1.13199
296,2019-03-15 13:35:42.742851,1.13198,1.13201
297,2019-03-15 13:35:42.755953,1.13196,1.13198
298,2019-03-15 13:35:42.761461,1.13197,1.132
299,2019-03-15 13:35:42.764137,1.13196,1.13198
300,2019-03-15 13:35:42.782182,1.13197,1.13199
301,2019-03-15 13:35:44.355770,1.13198,1.13201
302,2019-03-15 13:35:44.358809,1.132,1.13202
303,2019-03-15 13:35:44.362088,1.13199,1.13201
304,2019-03-15 13:35:44.437502,1.132,1.13203
305,2019-03-15 13:35:44.558275,1.13201,1.13204
306,2019-03-15 13:35:46.895468,1.13203,1.13206
307,2019-03-15 13:35:46.898299,1.13206,1.13208
308,2019-03-15 13:35:46.923120,1.13207,1.13209
309,2019-03-15 13:35:46.940710,1.13206,1.13208
310,2019-03-15 13:35:47.090786,1.13208,1.1321
311,2019-03-15 13:35:47.096304,1.13206,1.13209
312,2019-03-15 13:35:47.099151,1.13208,1.1321
313,2019-03-15 13:35:47.230173,1.13209,1.13211
314,2019-03-15 13:35:47.584718,1.1321,1.13213
315,2019-03-15 13:35:47.662774,1.13208,1.13211
316,2019-03-15 13:35:47.680901,1.1321,1.13212
317,2019-03-15 13:35:47.684610,1.13208,1.13211
318,2019-03-15 13:35:47.700251,1.1321,1.13212
319,2019-03-15 13:35:47.710653,1.13208,1.13211
320,2019-03-15 13:35:48.469919,1.1321,1.13212
321,2019-03-15 13:35:48.487917,1.13211,1.13213
322,2019-03-15 13:35:48.875076,1.1321,1.13212
323,2019-03-15 13:35:49.968135,1.13208,1.13211
324,2019-03-15 13:35:49.970013,1.13207,1.1321
325,2019-03-15 13:35:49.997281,1.13206,1.13208
326,2019-03-15 13:35:50.032891,1.13205,1.13207
327,2019-03-15 13:35:50.046343,1.13203,1.13206
328,2019-03-15 13:35:50.243273,1.13202,1.13205
329,2019-03-15 13:35:52.148334,1.13201,1.13203
330,2019-03-15 13:35:52.164774,1.13199,1.13202
331,2019-03-15 13:35:52.221054,1.13197,1.13199
332,2019-03-15 13:35:52.342694,1.13195,1.13198
333,2019-03-15 13:35:52.343154,1.13196,1.13199
334,2019-03-15 13:35:52.344106,1.13195,1.13197
335,2019-03-15 13:35:52.661414,1.13194,1.13196
336,2019-03-15 13:35:57.334712,1.13195,1.13197
337,2019-03-15 13:35:57.574445,1.13194,1.13196
338,2019-03-15 13:35:59.264242,1.13192,1.13194
339,2019-03-15 13:35:59.264743,1.1319,1.13193
340,2019-03-15 13:35:59.269833,1.13189,1.13192
341,2019-03-15 13:35:59.331011,1.13191,1.13193
342,2019-03-15 13:35:59.334434,1.1319,1.13192
343,2019-03-15 13:35:59.375289,1.13188,1.13191
344,2019-03-15 13:36:00.156619,1.13189,1.13192
345,2019-03-15 13:36:00.581273,1.13191,1.13193
346,2019-03-15 13:36:01.836116,1.13192,1.13194
347,2019-03-15 13:36:01.840632,1.13193,1.13195
348,2019-03-15 13:36:04.233648,1.13192,1.13194
349,2019-03-15 13:36:05.794610,1.13193,1.13196
350,2019-03-15 13:36:05.806420,1.13194,1.13197
351,2019-03-15 13:36:05.880569,1.13196,1.13198
352,2019-03-15 13:36:07.316080,1.13194,1.13197
353,2019-03-15 13:36:07.568635,1.13196,1.13198
354,2019-03-15 13:36:07.578628,1.13197,1.13199
355,2019-03-15 13:36:09.204091,1.13198,1.13201
356,2019-03-15 13:36:09.219527,1.13199,1.13202
357,2019-03-15 13:36:09.358901,1.13198,1.132
358,2019-03-15 13:36:09.409231,1.13195,1.13198
359,2019-03-15 13:36:09.432084,1.13194,1.13197
360,2019-03-15 13:36:09.640898,1.13193,1.13195
361,2019-03-15 13:36:11.093819,1.13192,1.13194
362,2019-03-15 13:36:11.104034,1.1319,1.13193
363,2019-03-15 13:36:11.168614,1.13189,1.13191
364,2019-03-15 13:36:11.182236,1.13188,1.1319
365,2019-03-15 13:36:11.293806,1.13186,1.13189
366,2019-03-15 13:36:13.252388,1.13185,1.13188
367,2019-03-15 13:36:13.262721,1.13184,1.13186
368,2019-03-15 13:36:13.283951,1.13185,1.13187
369,2019-03-15 13:36:13.341801,1.13184,1.13186
370,2019-03-15 13:36:14.009934,1.13185,1.13187
371,2019-03-15 13:36:14.477079,1.13184,1.13186
372,2019-03-15 13:36:14.548050,1.13182,1.13185
373,2019-03-15 13:36:16.057507,1.13181,1.13184
374,2019-03-15 13:36:16.063361,1.1318,1.13182
375,2019-03-15 13:36:16.102972,1.13181,1.13184
376,2019-03-15 13:36:18.715639,1.13182,1.13185
377,2019-03-15 13:36:18.734143,1.13184,1.13186
378,2019-03-15 13:36:18.743414,1.13185,1.13187
379,2019-03-15 13:36:18.744739,1.13184,1.13186
380,2019-03-15 13:36:19.046844,1.13182,1.13185
381,2019-03-15 13:36:21.080460,1.13181,1.13184
382,2019-03-15 13:36:21.087279,1.1318,1.13183
383,2019-03-15 13:36:21.095124,1.13178,1.13181
384,2019-03-15 13:36:21.155720,1.13177,1.13179
385,2019-03-15 13:36:21.542349,1.13178,1.13181
386,2019-03-15 13:36:21.614475,1.13179,1.13182
387,2019-03-15 13:36:21.635930,1.13181,1.13183
388,2019-03-15 13:36:22.885107,1.1318,1.13182
389,2019-03-15 13:36:22.898101,1.13178,1.13181
390,2019-03-15 13:36:22.955899,1.13177,1.13179
391,2019-03-15 13:36:26.690224,1.13178,1.1318
392,2019-03-15 13:36:28.943113,1.13179,1.13181
393,2019-03-15 13:36:31.035548,1.1318,1.13182
394,2019-03-15 13:36:31.113733,1.13179,1.13181
395,2019-03-15 13:36:32.223336,1.1318,1.13182
396,2019-03-15 13:36:33.470227,1.13181,1.13183
397,2019-03-15 13:36:33.556463,1.13182,1.13185
